"","产品简称","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12"
"1641","珩生晶盈二期",0.3563,2.6128,1.9002,11.0451,13.0641,18.6461,18.7648,25.4157,24.8219,34.9169,32.0665,40.0238
"1355","衡道二号",0.6616,-4.1588,-5.6711,-4.5369,-6.7108,-10.0189,-11.0586,-9.6408,-10.775,-13.5161,-16.0681,-17.2023
"2799","弘尚资产成长精选1号",-0.505,5.1948,3.6076,2.0924,-7.2149,-4.6897,-5.4834,-0.7215,5.6998,7.9365,2.5974,0.2165
"3080","弘尚资产成长精选2号",-0.8608,4.9498,3.9455,2.6543,-6.7432,-3.802,-5.0933,-1.6499,-0.4304,2.5107,1.2913,2.9412
"5085","弘尚资产灵活配置",-12.1314,-1.3647,0.6773,-0.7172,-1.1954,6.4448,8.3972,11.5748,8.3175,17.0236,18.4879,25.63
"3974","红岸量化精选1号",-2.3578,-1.6161,-1.8043,-3.9185,-5.3686,-5.3022,-4.8041,-2.9666,-1.9703,-1.9482,-3.0441,-2.9334
"988","红枫资产管理2号",1.2485,3.3756,2.3972,-2.9214,-5.18,-4.9094,2.824,8.4341,12.7431,6.8832,5.6447,-0.3922
"379","红亨稳赢一期",3.27,14.49,25.83,28.19,27.04,45.3359,102.2267,115.7086,107.3621,105.7314,87.021,76.2916
"1886","红角一号",0.1494,0.7664,-4.0982,-8.2159,-12.4115,-8.8784,-8.5991,-2.9226,-2.6174,-7.8262,-8.4107,-10.6514
"486","红奶酪",2.7586,6.1084,12.6108,15.2709,21.3793,31.5271,30.8374,33.202,37.3399,49.7537,48.4729,55.665
"3485","红象1期",-1.4378,-0.647,1.4378,0.4313,-0.5032,4.8886,11.0712,10.4242,13.0841,18.9792,14.6657,16.8943
"1959","红象精选3号",0.1068,1.6026,4.9145,3.7393,2.6709,5.7692,8.3333,11.0043,13.141,16.453,12.9274,15.1709
"2449","红象精选4号",-0.2095,0.5513,2.4033,-0.3417,-1.6426,3.4836,9.2934,9.9217,12.336,19.193,14.2101,17.3961
"4565","红炎神州牧",-4.4214,-1.223,-5.174,-3.4807,-13.4525,-10.1599,-15.334,-10.5362,-12.8881,-19.191,-25.3998,-30.2916
