产品简称,当年收益%
银帆6期,0.96
银垒成长1号,0.95
渤海分级汇鑫7号,0.94
日进斗金28号,0.93
宽智量化对冲5号,0.91
品御10号,0.9
马拉松全球,0.9
海润达三期,0.9
黄金优选28期7号,0.9
金蕴28期(神农春生),0.9
黄金优选28期3号,0.89
黄金优选28期11号,0.89
黄金优选28期2号,0.89
黄金优选28期9号,0.89
黄金优选28期8号,0.89
黄金优选28期5号,0.88
黄金优选28期4号,0.88
黄金优选28期10号,0.88
泰通瑞泽一号,0.88
黄金优选28期6号,0.87
黄金优选28期1号,0.87
国泰君安君享对冲一号,0.83
焕然1号,0.82
工银量化恒盛精选A类2..,0.81
众劦才华三号,0.81
宁波海顺1号,0.8
天信天宝1期,0.8
炉石核心价值,0.8
以太量化1号基金,0.78
华洲五号,0.78
厚品资产复利一号,0.77
浦江之星103号二期,0.76
雪球2期,0.76
熵一3号全球宏观配置,0.75
远望角投资1期,0.75
金摇篮-信盈债券投资,0.74
知本合丰9号,0.74
丰利中经乾宁策略轮动..,0.74
钜融量化,0.73
国金恒盛分级5号,0.73
英大安之衡19号,0.72
正前方量道投资量化对..,0.71
纳鑫2号,0.71
品今信诚威鹏全球医疗..,0.7
镕畿1号,0.7
华洲金石一号,0.7
凯兴千龙晋富1号,0.7
沄沣精选壹号,0.69
融晨03号,0.68
双隆鼎实5号四期,0.68
万联万年红多因子策略..,0.67
信复创值2号,0.66
国信红岭量化,0.66
景林创新成长,0.64
同瑞汇金1期,0.64
前瞻8号,0.64
汇信_稳盈1号,0.63
量化2号,0.62
观富价值一号,0.62
旭诚五期,0.61
宁聚量化稳增2号,0.61
犇牛1期,0.61
淘利策略指数轮动1号,0.6
禾永阳光回报一期,0.6
盈阳安禅涌鑫二号,0.6
向阳花1期,0.6
金柏1期,0.6
申毅量化套利种子4号,0.6
中国价值,0.59
黄金优选28期12号,0.57
锃亮一期,0.56
和谐并购安居基金,0.54
乾元泰和龙泽5号,0.54
和聚安和成长1号,0.53
聚力1号,0.52
高毅晓峰明远,0.51
慧金天成1期,0.5
和聚稳健增长,0.5
蓝海二号,0.5
拓商1号,0.5
稳健优选72号,0.5
嘉理嘉翼6号,0.5
元达信财富尊享1期,0.49
金狮151号,0.48
富汇杉利1号,0.48
国泰君安君享对冲二号,0.47
阿尔法量化对冲六阳贞..,0.47
昀沣4号,0.44
永兴量化对冲10号,0.43
丰岭稳健成长3期,0.42
星火燎原1号,0.41
弘哲亿信言起4号,0.4
兆泽利丰4期,0.4
丹阳对冲2期,0.4
鼎萨量化1号,0.4
万丰友方贯富添利3期A,0.39
昭图1号,0.38
红宝石(上信-E-1306),0.38
幸福1号,0.38
新华汇嘉至尊成长,0.37
丰岭稳健成长6期,0.37
中信证券宏明量化多策..,0.36
逸昇源1号,0.33
双隆量化7号,0.33
第一创业瑞年05号,0.31
道谊泽时一号,0.3
国信天图资本股权投资,0.3
金蝉基金,0.3
朱雀穿越恒远1期,0.3
永禧永华,0.3
千安一号,0.3
拙进厚诚敏1号(2期),0.3
汇达投资量化对冲1号,0.29
资本运作1期,0.28
赤子之心成长,0.26
金海4号,0.26
好菜鸟热点轮动量化对..,0.26
金狮154号,0.25
汇鑫89号,0.25
长江证券昆仑7号,0.24
量化3号,0.22
淘利策略指数轮动3号..,0.21
德胜宝典,0.21
万丰友方避险增值1期,0.21
敬勤三期,0.2
纯熙1号,0.2
长河畅达成长1号,0.2
祥云2号,0.2
中信专享赤子之心成长..,0.19
中信专享赤子之心成长..,0.19
锦润投资1期,0.19
中信专享赤子之心成长..,0.18
中信专享赤子之心成长..,0.18
中信专享赤子之心成长..,0.18
中信专享赤子之心成长..,0.18
中信专享赤子之心成长..,0.18
中信专享赤子之心成长..,0.18
万盟同强1号,0.18
泓信安盈七期,0.17
钱王乾睿量化1号,0.16
水木6号,0.16
新时代量化对冲6号,0.15
安天诚丰盈2号,0.14
嘉怡量化,0.13
金新东方红1号,0.12
东方鼎泰1期,0.12
道谊量化增强1期,0.11
私募学院菁英55号,0.11
摩通9号,0.11
弘哲亿信言起3号,0.1
民享紫晶稳健3号,0.1
民享紫晶趋势1号,0.1
民享紫晶趋势2号,0.1
众量量子,0.1
翼丰302号,0.1
鼎宝卓越2期,0.1
睿智鑫富一号,0.1
和聚鼎宝平台,0.1
三一资本明珠1号,0.1
宏源证券鑫源01号,0.1
浦信恒利资产管理1号,0.1
象学二期,0.09
易同精选五期,0.09
核动力长期价值1号,0.08
筑金增强,0.08
兴汇创富二号,0.06
承辉宏财富尊享六号,0.05
黄金优选28期13号,0.03
菩提成长9号,0.02
兴福TOP量化优选30,0.01
鼎慧金鼎1号,0.01
飞旋成长六期,0.01
信德医疗,0
贝富盛一期,0
共盈凯石喜洋洋,0
海通宝石1号,0
稳健成长1号,0
鸿道新蓝筹,0
刘东声刘子赢家1号,0
澎泰安全边际二期,0
蓝海汇智,0
京华优选八号,0
久安稳进4号,0
丰岭稳健成长9期,0
丰岭稳健成长8期,0
灵涛潜龙2期,0
理石琥珀9号,0
跃达1号,0
运达1号,0
新湖梭罗1号,0
幻方沪深300指数增强2号,0
幻方中证500指数增强1号,0
源乐晟恒晟5号,0
景闰锦赢1号,0
盛世长城精选展博1期,0
大概率6号,0
东方蜗牛一号,0
开尔新材1号,0
风帆股份定向增发4号,0
巨杉1号,0
菁英时代厚正1号,0
赢华智享七号私募基金,0
领航三号,0
展锋东方红1期,0
邦得5号,0
专项基金,0
中睿合银弈势9号,0
华炎盛熙,0
量化趋势策略1号,0
嘉伦稳健13号,0
亿洲稳增1号,0
鼎锋夏朵8期,0
世域三期,0
B,0
A,0
高盈2号,0
恒融5号,0
金佳证券,0
上古投资股票先机1号,0
烁驰量化1期,0
立才二号,0
鹤骑鹰奇古指数对冲基金,0
中国蓝价值成长1号,0
领航一号,0
领航二号,0
少数派尊享31号,0
格雷基业长青一号,0
知本合丰6号,0
华增五号,0
中乘9号,0
展博10期,0
蒙盈一号,0
工行专享星鑫一号,0
工行专享星鑫二号,0
恒宇天泽黄河十七号,0
齐盈灵活一号,0
西藏明曜稳赢1号,0
六禾嘉睿1号,0
东湖16号朱雀,0
鲁证钡镭信鹏1号,0
裕恒资本双龙一号,0
紫鑫星鑫2号,0
蓝海八号,0
非凡卓越,0
神农本源,0
少数派尊享33号,0
少数派尊享32号,0
浙江金河天成二期,0
智慧人生健子三期,0
挂钩指数增强,0
进睿马拉松9号,0
牛行五号,0
数模3号,0
九晟1号2期,0
以太趋势7号,0
阖鼎泓澄智选1号,0
雅柏宝量化六号,0
析方港股,0
久安稳进5号,0
德维客福2号,0
