"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"868","瀚信价值2期",12.2,"14.24",5.71,9.22
"831","瀚信经典1期",13.83,"7.24",1.18,5.01
"952","瀚信稳健2期",8.86,"10.37",11.06,14.5
"856","瀚信一号A",12.5,"12.2",11,14.4
"1432","行知转折1期",-20.76,"-20.69",-23.88,-15.48
"54","航长常春藤",77.97,"85.58",92.17,92.76
"62","航长常春藤2号",73.58,"79.13",86.78,83.43
"1231","灏四方成长基金",-3.52,"15.89",33.48,39.79
"503","禾木1号",26.36,"37.58",79.67,76.38
"693","合德丰泰",19.16,"22.97",26.27,26.35
"1205","合美成长私募证券",-2.36,"8.87",10.74,16.75
"974","合心一期",7.75,"7.4",-3.19,-3.99
"1388","合赢",-14.67,"-5.24",-2.82,1.48
"542","和聚10期",24.91,"41.05",46.09,46.6
"302","和聚1期",37.9,"56.96",58.18,64.78
"285","和聚2期",39.53,"56.96",57.6,57.28
"260","和聚3期",40.93,"58.91",60.35,59.75
"298","和聚4期",38.2,"55.77",56.76,56.54
"262","和聚5期",40.74,"58.5",59.3,59.03
"371","和聚7期",33.59,"51.18",52.51,51.35
"393","和聚8期",32.43,"49.52",50.67,50.2
"418","和聚9期",30.51,"44.5",49.6,50.67
"20","和聚鼎宝1期",122.62,"123.41",120.55,120.36
"9","和聚鼎宝2期",167.22,"169.26",165.86,165.88
"273","和聚华享对冲1期",40.1,"57.49",62.81,63.49
"64","和聚兴享1期",71.84,"79.83",78.7,77.53
"714","和禄1号",18.36,"17.96",16.23,17.24
"1462","和顺一期",-31.73,"-18.16",-12.63,-14.28
"65","黑森九号",71.53,"73.53",75.28,80.94
"801","黑天鹅-守护神",15.17,"7.34",-0.49,1.75
"1113","恒德1期",2.2,"3.91",4.71,6.71
"1107","恒德中略1期",2.64,"5.2",6.65,8.82
"1151","恒德中略2号",0.45,"2.93",4.5,6.1
"538","恒复利贞",25.04,"48.61",53.92,55.51
"366","恒添新青年一号",33.87,"31.7",34.02,36.76
"1467","恒信盈创成长二期",-34.96,"-30.83",-27.82,-31.2
"226","弘尚投资",43.77,"61.1",63.47,68.96
